phrase_id,phrase,true_parent,true_subtech
1,"Analysis of the implant's behaviour revealed that it loaded a 64-bit payload DLL directly into the address space of explorer.exe using the LoadLibrary API",T1055,T1055.001
2,"The threat actor staged a malicious DLL in a world-writable directory before forcing its loading into a legitimate browser process via a remote thread",T1055,T1055.001
3,"Telemetry captured CreateRemoteThread calls preceded by WriteProcessMemory writing a DLL path into the memory of winlogon.exe",T1055,T1055.001
4,"Post-exploitation activity included classic LoadLibrary-based DLL injection into the Windows print spooler process to host the implant",T1055,T1055.001
5,"The backdoor achieved code execution within lsass.exe by planting a payload DLL and triggering its load via a remotely created thread",T1055,T1055.001
6,"A kernel driver obtained via a BYOVD technique was used to map an unsigned payload DLL into a PPL-protected process",T1055,T1055.001
7,"A trojanised version of a legitimate DLL was placed in the application directory to be side-loaded when the signed host binary launched",T1055,T1055.001
8,"The loader persisted its core library by encoding it in a Registry value and reconstructing it into a host process's address space at runtime",T1055,T1055.001
9,"On macOS endpoints, the threat group weaponised dylib hijacking to force a trusted Gatekeeper-approved application into loading a rogue shared library",T1055,T1055.001
10,"Memory forensics revealed module stomping where the .text section of a legitimately loaded DLL was overwritten in-place with attacker shellcode",T1055,T1055.001
11,"Mach-O injection was identified on compromised macOS hosts, with a rogue dylib loaded into a notarised application to evade detection",T1055,T1055.001
12,"The group abused a vulnerable third-party driver to map an unsigned DLL directly into a protected system process, bypassing standard code integrity checks",T1055,T1055.001
13,"A reflectively loaded PE image was identified mapped into the working set of svchost.exe with no corresponding file artefact on disk",T1055,T1055.002
14,"The stager bootstrapped the second-stage implant entirely in memory using a modified ReflectiveDLLInjection loader to avoid touching the file system",T1055,T1055.002
15,"Endpoint telemetry captured an unsigned PE being manually mapped into explorer.exe's address space using NtCreateSection and NtMapViewOfSection",T1055,T1055.002
16,"The implant used a custom reflective loader stub that resolved all required exports at runtime, leaving no import table on disk to scan",T1055,T1055.002
17,"Manual PE loading via NtCreateSection was used to bypass API-level hooks applied by the resident EDR product on LoadLibrary",T1055,T1055.002
18,"The dropper used manual PE mapping to reconstruct the payload's import table and relocations in memory, avoiding the Windows loader entirely",T1055,T1055.002
19,"The RAT loaded its plugin modules by reflectively mapping DLLs into a long-running trusted system process, making them invisible to module enumeration",T1055,T1055.002
